after,befer,score
性功能障碍,男性勃起功能障碍、早泄、肾阳虚,38.46153846153847
牙周炎;扁桃体炎,牙周炎;牙龈炎;扁桃体炎,70.0
免疫力低下,免疫调节,50.0
黄褐斑,色素沉着斑,20.0
高血压,尼古丁依赖,0.0
胸痹,心绞痛,0.0
痔疮,内痣,0.0
胸痹,心绞痛,0.0
慢性肾炎,慢性肾炎综合征,57.14285714285714
排斥反应,肾移植失败和排斥反应,40.0
肾功能不全,肾功能异常,60.0
叶酸缺乏症，类风湿关节炎、周围神经病变,贫血、类风湿关节炎、周围神经病变,85.71428571428571
关节炎,强制性脊柱炎,16.666666666666664
慢性滑膜炎,急慢性滑膜炎,83.33333333333334
肝炎,急性病毒性肝炎,28.57142857142857
高脂血症、高血压病、冠心病,高脂血症、高血压病、胸痛,80.0
排斥反应,肾移植失败和排斥反应,40.0
肝肾两亏,脚后跟疼,0.0
排斥反应,排异,50.0
腰痛症,腰痛伴有坐骨神经痛,22.22222222222222
支气管炎,咳嗽,0.0
胸痹,胸痛,50.0
脑梗塞,脑血栓形成,20.0
消化不良,慢性支气管炎,0.0
骨性关节炎、冠心病,骨质疏松、骨质增生、脑血管病、冠心病,26.666666666666668
静脉曲张,小腿静脉曲张,66.66666666666666
肾移植,免疫,0.0
脑梗死后遗症,脑血栓形成,20.0
类风湿性关节炎、颈椎病,类风湿性关节炎、颈椎间盘疾患,69.23076923076923
慢性胃炎,胃炎,100.0
心绞痛,胸痛,50.0
免疫力低下,抵抗力差,25.0
系统性红斑狼疮,红斑狼疮,100.0
肥胖症,减肥,50.0
肝气郁结,肝郁胁肋胀痛,33.33333333333333
缺铁性贫血,缺铁性贫血、贫血,71.42857142857143
骨关节炎,类风湿性关节炎,42.857142857142854
痛经,宫寒，月经不调,16.666666666666664
气虚血亏,汗多，怕风，气虚,33.33333333333333
阴道炎、湿疹,外阴瘙痒症、湿疹,42.857142857142854
胃炎,肠易激综合征,0.0
高尿酸血症,心衰,0.0
高血压病、痛风  糖尿病,高血压病、痛风,100.0
胸痹,胸痛,50.0
耳鸣头痛,癫痫,0.0
细菌性阴道炎,阴道炎、细菌性阴道病,55.55555555555556
慢性支气管炎,咳嗽,0.0
癫痫,急慢性气管炎,0.0
开角型青光眼,开角型青光眼及高眼压症、开角型青光眼,35.294117647058826
性功能障碍,勃起功能障碍,66.66666666666666
高血压病,高血压,100.0
尿路结石,尿结石,100.0
痛经,月经不调,25.0
跌打损伤,腰肌劳损,25.0
缺铁性贫血,补血补气,25.0
高血压病,前列腺增生,0.0
冠心病,心气阴两虚症,16.666666666666664
冠心病,胸痛,0.0
便秘,精神分裂症,0.0
慢性肾炎,慢性肾衰竭,60.0
视疲劳,假性近视,25.0
男性功能障碍、,男性勃起功能障碍、勃起功能障碍,42.857142857142854
慢性肾炎,慢性肾衰竭,60.0
便秘,排便不畅,25.0
骨质疏松,钙缺乏,0.0
咽炎,喉咙痰多，不舒服,0.0
扁桃体炎,慢性扁桃体炎,66.66666666666666
胆道蛔虫症,蛔厥久痢症,40.0
支气管炎、,支气管炎、黄疸病,57.14285714285714
肝炎  支气管炎、,支气管炎、,100.0
闭塞性血管炎,间歇性跛行,20.0
白内障,翼状胬肉,0.0
手癣,手癣;皮炎,50.0
便秘,排便不畅,25.0
心气阴两虚 ,心气阴两虚症,83.33333333333334
软组织肿胀,耳聋头晕,0.0
蛋白尿,尿蛋白高,50.0
痛风,无,0.0
高血压病,高血压,100.0
冠心病,胸痛,0.0
肝炎,保肝护肝,25.0
糖尿病， 鼻炎、高血压病、冠心病,2型糖尿病、鼻炎、心律失常、高血压病、冠心病,66.66666666666666
糖尿病,糖尿病、2型糖尿病,37.5
 青光眼、高眼压症,开角型青光眼及高眼压症、青光眼、高眼压症,38.88888888888889
常年性及季节性过敏性鼻炎、 ,常年性及季节性过敏性鼻炎、季节性过敏性鼻炎,60.0
阴道炎,急性咽炎,25.0
2型糖尿病,2型糖尿病、糖尿病,62.5
关节炎,肢体疼痛,0.0
扁桃体炎,咳嗽病,0.0
尿道炎,清热利湿,0.0
气阴两虚症,增强体质,0.0
肾虚,耳鸣,0.0
沙眼、骨关节炎、感冒,沙眼、骨关节炎、普通感冒,80.0
早泄、肩周炎、,早泄、肩周炎、腰痛,71.42857142857143
跌打损伤,外伤证,33.33333333333333
多动症,盗汗,0.0
肾阳虚,补肾,50.0
癫痫,无,0.0
脾虚气滞、消化不良,脾虚气滞症、消化不良,88.88888888888889
消化不良,脾虚气滞、消化不良,50.0
脑梗死,脑血管病,25.0
冠心病,胸痛,0.0
声带息肉,咽喉炎,0.0
荨麻疹,皮肤软组织感染;尿路感染,0.0
甲状腺机能亢进,阴虚火旺证,0.0
糖尿病,糖尿病、2型糖尿病,37.5
荨麻疹，高血压病,荨麻疹,100.0
牙龈炎,牙龈肿痛,50.0
肩周炎,疼痛,0.0
心绞痛;痤疮,心绞痛;皮炎,60.0
癫痫,躁狂状态,0.0
急性扁桃体炎,慢性扁桃体炎,83.33333333333334
气管炎,咽炎气管炎,60.0
急性中耳炎; 肠炎,急性中耳炎;高血压病;冠心病 肠炎,50.0
腹泻,祛痘敷脸用,0.0
雌激素缺乏,试管婴儿妊娠状态,0.0
咽喉炎,血热手脱皮,0.0
双相情感障碍,双相情感障碍 躁狂发作,60.0
急性咽喉炎,慢性咽喉炎,80.0
头晕,心律失常,0.0
牙龈炎,牙痛;牙龈炎,60.0
2型糖尿病、高血压病,2型糖尿病、高血压病、高血压,75.0
静脉曲张综合症,痔疮,0.0
气血亏虚,多发性脑梗塞,0.0
咽炎,血热,0.0
咽炎,血热,0.0
贫血,叶酸铁片,0.0
支气管炎、哮喘,呼吸道感染、哮喘,28.57142857142857
抑郁症,双相情感障碍,0.0
风湿性关节炎,无,0.0
气阴两虚,测试数据测试数据,0.0
反流性食管炎、干眼症,反流性食管炎、眼干眼涩,80.0
鼻炎,慢性鼻炎,50.0
足癣,脚癣,50.0
肢体麻木,失眠,0.0
神经性疼痛,左手神经性痛,66.66666666666666
肠炎,慢性支气管炎,16.666666666666664
冠心病,保护血管,0.0
尿道炎,衣原体性宫颈炎,14.285714285714285
冠心病,胸痛,0.0
烧伤,皮肤创面,0.0
过敏性性结膜炎、细菌性角膜炎,过敏性性结膜炎、细菌性结膜炎,92.3076923076923
肥胖症,减肥,50.0
脑梗塞,活血用,0.0
痔疮,痔疮犯了,50.0
肾炎,尿蛋白高,0.0
肩周炎,筋包疼,0.0
支气管炎,咳嗽,0.0
2型糖尿病 ,2型糖尿病、尿路感染,55.55555555555556
骨质疏松,补钙,0.0
常年性鼻炎,季节性或常年性鼻炎,55.55555555555556
关节炎,各种疼痛,0.0
2型糖尿病,糖尿病、2型糖尿病,62.5
心绞痛,胸痛,50.0
结膜炎,眼干,0.0
关节炎,骨折,0.0
腰痛,肾亏腰痛,50.0
免疫功能减退,肺癌,0.0
胃溃疡,慢性浅表性胃炎,14.285714285714285
乳腺增生,乳腺炎,66.66666666666666
膝关节炎,关节疼痛,50.0
气管炎,咳嗽,0.0
骨质疏松症,骨质疏松,100.0
高血压病,骨质疏松,0.0
颈椎病,肠炎,0.0
低蛋白血症,维生素摄入不足,0.0
肌萎缩侧索硬化症,肌萎缩侧索硬化,100.0
青光眼,婴儿血管瘤,0.0
心绞痛,胸痛,50.0
脑动脉硬化,脑血管堵塞,20.0
脑外伤,儿童智能发育迟缓,0.0
荨麻疹,瘙痒症,0.0
湿疹,鼻炎、皮炎,0.0
慢性肝炎,肝功能异常,20.0
乳腺增生,乳腺肿瘤,50.0
偏头痛,非器质性失眠症,0.0
肥胖症,减肥,50.0
阴道炎,滴虫性阴道炎,50.0
足癣,手癣,50.0
便秘,便秘，使用过,40.0
肥胖症,减肥,50.0
免疫缺陷病,自身免疫性疾病,42.857142857142854
头晕、过敏性鼻炎、普通感冒、慢性支气管炎,头晕头痛、过敏性鼻炎、小便时痛、普通感冒、慢性支气管炎,73.91304347826086
鼻炎  便秘,肝性脑病、慢性鼻炎,25.0
便秘,便秘，使用过,40.0
骨质增生症,骨刺,50.0
肾虚证,心悸,0.0
肝胆湿热,风热上攻肺胃热盛证,11.11111111111111
冠心病,胸痛,0.0
慢性肝炎,肝炎,100.0
足癣,脚癣,50.0
低蛋白血症,维生素摄入不足,0.0
四肢骨节增生、骨关节炎,骨刺、骨关节炎,100.0
甲癣,灰指甲,33.33333333333333
肺肿瘤,肿瘤,100.0
脑外伤,产后引起精神紧张。,0.0
肠功能紊乱,急慢性咽喉炎,0.0
焦虑症,产后引起精神紧张。,0.0
萎缩性阴道炎,外阴萎缩,50.0
缺铁性贫血,营养性贫血,60.0
干燥综合征、眼睑炎,眼干眼涩、眼睑炎,57.14285714285714
咽炎,牙疼  上火,0.0
气虚血亏,背部爱出汗，月经量少,0.0
咽喉炎,胃溃疡,0.0
气虚证,背部爱出汗，月经量少,0.0
高血压,中风,0.0
慢性肝炎、,慢性肝炎、肝炎,66.66666666666666
胸痹,胸痛,50.0
肥胖症,减肥,50.0
骨关节炎,骨质增生,25.0
气管炎,咳嗽病,0.0
足癣,脚丫痒,0.0
高血压病,高血压病、高血压,57.14285714285714
?神经官能症,睡眠质量差,0.0
足踝扭伤,软组织损伤,20.0
气管炎,咳嗽,0.0
高血压病  心绞痛,高血压病、胸痛、心绞痛,77.77777777777779
气管炎,失眠多梦,0.0
痛经、宫血,痛经、子宫出血,66.66666666666666
急性咽炎,外擦软疣,0.0
肥胖症,肚子大，胖,25.0
活血化瘀,和血化瘀,75.0
冠心病,活血化瘀,0.0
皮肤瘙痒症,皮肤瘙痒,100.0
肩周炎,骨关节炎,25.0
冠心病,右侧动脉纤细,0.0
胃炎,胃酸过多,25.0
慢性支气管炎,慢性支气管炎，哮喘,75.0
男性勃起功能障碍,其他,0.0
喘息性支气管炎,咳嗽,0.0
疱疹,单纯疱疹病毒;结膜炎,22.22222222222222
免疫力低下,嗓子易发炎，增强体质,0.0
急性尿道炎;上呼吸道感染,急性尿道炎;感冒病,75.0
肾移植,淋巴管,0.0
头晕,脑壳晕,33.33333333333333
颈椎病,颈椎,100.0
肾移植,淋巴管,0.0
皮肤创面,皮肤溃疡,50.0
咽炎,风热感冒,0.0
肺炎,咽炎,50.0
肠功能紊乱,肚子疼！生气,0.0
脑梗塞,瘀血内阻证,0.0
瘢痕 外伤,瘢痕,100.0
脑梗死,脑血管病,25.0
肝移植,再生障碍性贫血,0.0
失眠,失眠多梦,50.0
颈椎病,颈椎间盘疾患,33.33333333333333
扁桃体炎、神经痛,咽炎、神经痛,80.0
肥胖症,肚子大，胖,25.0
颈椎病,颈椎间盘疾患,33.33333333333333
痛经,月经不规则,20.0
脑梗塞,脑血管病,25.0
抑郁症,抑郁症 焦虑症,50.0
干眼症,眼干眼涩,50.0
咳嗽,咳嗽有痰,50.0
高血压,心血管病,25.0
皮肤过敏,皮肤病,66.66666666666666
足癣,外用,0.0
高血压,心绞痛，冠心病,0.0
肥胖症,减肥,50.0
脑梗死,脑出血,33.33333333333333
高血压，低钾血症,肝功能异常;低钾血症,55.55555555555556
胃炎,胃痛,50.0
慢性胃炎,慢性胃炎，结肠炎，胃胀气。此外有高冠心病,23.52941176470588
脑血栓,脑动脉硬化,20.0
社交焦虑症,社交恐怖,50.0
早期老年性白内障,用于早期老年性白内障,80.0
抽动症,患有轻微抽动症,42.857142857142854
黄褐斑,睑结膜炎,0.0
男性勃起功能障碍 ,男性勃起功能障碍、勃起功能障碍,57.14285714285714
贫血,营养不良,0.0
咳嗽,糖尿病,0.0
心绞痛,心力衰竭,25.0
下焦湿热证,前列腺炎,0.0
尖锐湿疣,脖子hpv ,0.0
2型糖尿病,Ⅱ型糖尿病,80.0
头晕,洗脸,0.0
中暑,头晕,0.0
厌食症,癫痫,0.0
关节炎,关节疼痛,50.0
脑梗塞后遗症、周围神经病变,高脂血症、周围神经病变,70.0
足癣,过敏性结膜炎,0.0
肾阳不足,勃起功能障碍,0.0
白内障,视物不清,0.0
胃炎,胃难受,33.33333333333333
厌食症,癫痫,0.0
肾虚证,消化不良、男性不育症、肾虚证,25.0
脑梗塞,眩晕综合征,0.0
局部麻醉,龟头神经敏感,0.0
高血压病,高血压病、高血压,57.14285714285714
慢性胃炎,胃难受,33.33333333333333
胃炎,胃疼,50.0
泌尿系感染、前列腺增生,念珠菌性阴道炎、前列腺增生,41.66666666666667
神经衰弱,高血压,0.0
颈椎病,梅尼埃病,25.0
宫颈糜烂,HPV感染,0.0
乳腺增生症,乳腺肿瘤,50.0
慢性肝炎,慢性乙肝,75.0
再生障碍贫血,再生不良性贫血,57.14285714285714
腹泻,泄泻,50.0
冠心病,一直用这个药,0.0
 高血压,心脏瓣膜病  冠心病  心绞痛；高血压,21.428571428571427
颈椎病,颈椎胀痛麻木,33.33333333333333
肾虚,补肾,50.0
肾阳虚证,肾阳虚,100.0
中风偏瘫,脑动脉粥样硬化,0.0
开角型青光眼,开角型青光眼及高眼压症,54.54545454545454
抑郁症 ,抑郁症 双相情感障碍 ,33.33333333333333
消化不良,胃炎,0.0
咽炎,口腔粘膜溃疡,0.0
冠心病；高血压病,冠心病,100.0
过敏性鼻炎,上呼吸道感染,0.0
消化不良,脾胃虚,0.0
抑郁症；慢性鼻炎,抑郁症、慢性鼻炎,100.0
骨关节炎,全身性骨关节炎、骨关节炎,36.36363636363637
脱发,脂溢性脱发,40.0
肾结石,肾病,50.0
慢性肠炎,腹泻,0.0
牙周炎,牙痛,50.0
冠心病,心力衰竭,25.0
干眼综合征、过敏性结膜炎,干燥综合征、过敏性结膜炎,90.9090909090909
失眠,耳鸣、腰乏等,0.0
肾阳虚证,肾阳虚,100.0
慢性肠炎,大便干燥,0.0
骨关节炎,全身性骨关节炎、骨关节炎,36.36363636363637
抑郁症,肝郁气滞证,20.0
扭伤,摔倒后，尾椎骨疼痛无法坐,0.0
变应性鼻炎  免疫力低下,变应性鼻炎,100.0
颈椎间盘疾突出,颈椎间盘疾患,83.33333333333334
癫痫,三叉神经痛,0.0
锌缺乏症,锌缺乏,100.0
胃炎,消化不好,0.0
寻常性痤疮,长痘痘,0.0
气郁不舒,胸胁胀闷,0.0
支气管炎,哮喘,0.0
勃起功能障碍 早泄,勃起功能障碍,100.0
肩周炎,肩周炎、疼痛,60.0
脑梗塞,小儿麻痹症,0.0
颈椎病,椎间盘疾患,20.0
肾盂肾炎 ,前列腺炎,25.0
脑血栓,脑动脉粥样硬化,14.285714285714285
骨质增生症,骨质增生,100.0
胃炎,两年老胃病,20.0
冠心病,胸痛,0.0
急性胃肠炎,肠炎;急性胃肠炎,71.42857142857143
特应性皮炎,银屑病,0.0
咽喉炎,清热,0.0
阴道炎,白带异常,0.0
胃溃疡,胃疼骨酸烧心,16.666666666666664
带状疱疹,局部麻醉,0.0
关节痛,疼痛,50.0
神经衰弱,月经不调,25.0
皮肤疱疹病毒感染,肛门皮肤疱疹病毒感染,80.0
干眼症,眼干眼涩,50.0
慢性肝炎,保肝护肝,25.0
2型糖尿病、高血压病  周围神经病变,2型糖尿病、高血压病、高血压、周围神经病变,83.33333333333334
高血压病、,高血压病、高血压,57.14285714285714
哮喘、鼻窦炎、心绞痛,哮喘、慢性阻塞性肺病、心绞痛,41.66666666666667
精神分裂症,精神,100.0
念珠菌性外阴阴道炎,阴部瘙痒,25.0
肠道菌群失调,轻微拉肚子,0.0
膀胱炎,睾丸炎,33.33333333333333
脑梗塞,肢体疼痛,0.0
肾阳不足证,肾虚证,66.66666666666666
高脂血症,脑梗塞血脂稠,33.33333333333333
反流性食管炎,胃食管返流,60.0
高脂血症,脑梗塞血脂稠,33.33333333333333
性功能障碍,男性勃起功能障碍,62.5
腰肌劳损,腰疼,50.0
疤痕,手术创伤,0.0
脚癣,脚气,50.0
勃起功能障碍,早泄、勃起功能障碍,75.0
滴虫性阴道炎,宫颈炎,33.33333333333333
高血压病、脑梗塞,高血压病、脑血管病,62.5
腰扭伤,扭伤,100.0
肝郁气滞证,胸胁胀闷,0.0
肾精亏损,脑梗死,0.0
痤疮、,痤疮、寻常痤疮,33.33333333333333
心绞痛，肾虚,心绞痛,100.0
过敏性鼻炎、冠心病,过敏性鼻炎、高血压病,66.66666666666666
神疲乏力,头晕头疼头部不舒服，身体乏力,15.384615384615385
支气管炎,普通感冒,0.0
感冒,喉咙干。,0.0
湿疹,自汗,0.0
咽炎,喉咙干痒，老感觉有异物，,0.0
冠心病,胸痛,0.0
胃炎,急性胃炎,50.0
慢性肝炎,慢性肝炎、保肝护肝、肝炎,40.0
月经不规则,月经不调,75.0
消化不良,血小板减少,0.0
神经性皮炎,结节性痒疹,20.0
流行性感冒,流感,100.0
月经不规则,月经不调,75.0
月经过多,经期延长病,20.0
胃溃疡,胃肠道溃疡,60.0
脑血栓后遗症,脑血栓形成,60.0
沙眼、冠心病,沙眼、胸痛,50.0
早泄,男不谢精，疲劳无力，多汗,0.0
胃胀，,胃胀，疼，放屁，拉稀,28.57142857142857
早泄,早泄、勃起功能障碍,25.0
外伤,旧伤痛,33.33333333333333
糖尿病、,糖尿病、2型糖尿病,37.5
肾虚,肾阴虚,66.66666666666666
脑血栓后遗症,脑血栓形成,60.0
前列腺增生,肾虚,0.0
高血压病、冠心病,高血压病、心力衰竭,62.5
阴道炎,细菌性阴道病,33.33333333333333
冠心病,胸痛,0.0
男性勃起功能障碍早泄,男性勃起功能障碍、勃起功能障碍,57.14285714285714
慢性肝炎、慢性乙型病毒性肝炎,慢性肝炎、黄疸病、慢性乙型病毒性肝炎,81.25
慢性肝炎、,慢性肝炎、慢性乙型病毒性肝炎,30.76923076923077
胃炎,胃疼胃酸烧心胀,14.285714285714285
肝火旺盛,肝火大,66.66666666666666
骨性关节炎,增生性关节炎,66.66666666666666
气血亏虚,心气虚,66.66666666666666
低钾血症,肾结石,0.0
勃起功能障碍,阳痿、勃起功能障碍,75.0
上呼吸道感染,鼻子不通气,0.0
尿路感染,膀胱炎及腰疼,0.0
上呼吸道感染,呼吸道感染,100.0
乳腺增生,乳腺肿瘤,50.0
月经不调,月经不规则,60.0
肾阳虚,黎明泻泄,0.0
流感,风热感冒,25.0
急性扁桃体炎;,急性扁桃体炎;急性支气管炎;急性上呼吸道感染,30.0
胃炎,胃肠胀气,25.0
缺铁性贫血、乳腺肿瘤细菌性阴道炎、月经不规则,缺铁性贫血、乳腺肿瘤、阴道炎、细菌性阴道炎、月经不规则,86.95652173913044
慢性咽炎,肠炎,50.0
舞蹈症,抽动障碍,0.0
阴道炎、、脾肾虚寒证、子宫颈炎、月经不规则,阴道炎、宫颈炎性疾病、脾肾虚寒证、子宫颈炎、月经不规则,73.91304347826086
急性胃炎,急性胰腺炎,60.0
咽炎,上火牙痛,0.0
慢性乙型病毒性肝炎,慢性乙型病毒性肝炎、乙型病毒性肝炎,56.25
肺心病,胸闷,0.0
冠心病,动脉硬化,0.0
骨关节炎,风湿痹症、骨关节炎,50.0
慢性肾功能不全,肺肾两虚证,20.0
哮喘,肺栓塞,0.0
上呼吸道感染,平时爱感冒,20.0
慢性支气管炎,肺肾两虚证,0.0
免疫力减退,病后恢复期,0.0
胃痛,胃隐疼,33.33333333333333
胃炎,胃痛,50.0
膝关节炎,膝盖响动,25.0
心绞痛,胸痛,50.0
 消化不良,便秘,0.0
慢性乙型肝炎,肝炎,100.0
胆囊炎,慢性胆囊炎,60.0
巩膜炎,结膜炎,66.66666666666666
慢性乙型肝炎,免疫缺陷病,0.0
急性鼻炎,急慢性鼻炎,80.0
肾结石,肾病,50.0
慢性乙肝,肝炎,50.0
结肠炎,克罗恩病,0.0
高血压,头痛,0.0
中暑,无,0.0
高血压病,高血压,100.0
乙肝,肝病,50.0
烫伤,用于消毒,0.0
慢性胃炎,胃炎,100.0
乙肝,肝病,50.0
脾胃虚弱,脾虚,100.0
血小板减少症、尿路感染,免疫性血小板减少性紫癜、尿路感染,60.0
胆囊结石、白细胞减少症，肾移植 ,胆囊结石、白细胞减少的疾病、肾移植失败和排斥反应,54.54545454545454
湿疹,虫咬性皮炎,0.0
胃溃疡,急性胃炎、胃溃疡,42.857142857142854
消化不良,跌打损伤,0.0
高血压 病,高血压 ,100.0
高血压病,高血压 病,100.0
抑郁症,社交恐怖,0.0
肾虚,肾阴虚,66.66666666666666
胃炎,腹胀,0.0
消化不良,胃肠功能紊乱,0.0
鼻炎,顽固性鼻塞,20.0
感冒,普通感冒,50.0
乳岩,痤疮,0.0
眼疲劳、干眼症,眼疲劳、眼干眼涩,71.42857142857143
慢支,咳嗽,0.0
类风湿性关节炎,风湿痹症,50.0
冠心病,胸痛,0.0
冠心病,胸痛,0.0
骨质疏松,钙缺乏,0.0
抑郁症,焦虑性抑郁症,50.0
干眼症、眼睑炎,眼干眼涩、眼睑炎,71.42857142857143
结膜炎、假性近视,过敏性性结膜炎、假性近视,63.63636363636363
关节炎,类风湿性关节炎,42.857142857142854
骨关节炎,骨关节炎疼痛,66.66666666666666
胃炎,胃帐胃疼,25.0
肝功能损害,肝损伤,66.66666666666666
冠心病,胸痛,0.0
骨质疏松,钙缺乏,0.0
消化不良,肠胃炎,0.0
肝功能损害,肝损伤,66.66666666666666
胆囊结石,胆汁淤积性肝病,14.285714285714285
前列腺增生,肾虚,0.0
胃炎,胃酸过多,25.0
感冒,鼻塞，咽痛,0.0
胃炎,不消化，有点小痛,0.0
抑郁证,情志抑郁证,60.0
冠心病,胸痛,0.0
胸闷,胸闷、气短、心跳,33.33333333333333
全身心骨关节炎,风湿病,0.0
腰肌劳损,关节扭伤,0.0
冠心病,胸痛,0.0
头晕,脾肾阳虚症,0.0
肝胆湿热,甲状腺炎,0.0
阴道炎,念珠菌性外阴炎,28.57142857142857
冠心病,脉管炎,0.0
胃炎,胃肠功能紊乱,16.666666666666664
 关节炎,全身性骨关节炎,42.857142857142854
脾肾阳虚,桥本甲状腺炎 免疫力低下,0.0
失眠,桥本甲状腺炎 免疫力低下,0.0
外伤;,外伤;皮肤外伤;皮肤外伤;外伤;皮肤感染,12.5
慢性乙型病毒性肝炎,慢性乙型病毒性肝炎、肝炎,81.81818181818183
肾虚，勃起功能障碍,补肾,50.0
高血压病、痛风,高血压病、痛风、高血压,66.66666666666666
前列腺增生,尿频尿急,0.0
头痛,头痛病,66.66666666666666
便秘,大肠湿热,0.0
脑梗塞,脑血管病,25.0
眼疲劳、干眼症,眼疲劳、眼干眼涩,71.42857142857143
口腔溃疡,急性结膜炎,0.0
支气管炎,上火,0.0
营养不良,维生素摄入不足,14.285714285714285
阴道炎,小腹坠，痒,0.0
类风湿性关节炎、更年期综合症,口腔扁平苔藓、更年期综合症,50.0
消化不良,脾胃虚弱证,0.0
胃炎,不消化，有点小痛,0.0
肺栓塞,全身性栓塞,40.0
牙龈炎,上火,0.0
类风湿关节炎,扭伤,0.0
干眼症,眼干眼涩,50.0
哮喘,哮喘、过敏性鼻炎,28.57142857142857
支气管炎,咳嗽病,0.0
血小板减少性紫癜,非血小板减少性紫癜,88.88888888888889
维生素B1缺乏,肌营养不良,0.0
抑郁症,抑郁,100.0
慢性结肠炎,外伤出血,0.0
支气管炎,肾虚，精神不振,0.0
腹泻,脾虚,0.0
冠心病,心绞痛,33.33333333333333
早泄、阳萎,阳萎,100.0
早泄，勃起功能障碍,早泄,100.0
胃炎,肝火犯胃证,20.0
听力下降,老年人男性性功能,0.0
开角型青光眼及高眼压症、,开角型青光眼及高眼压症、青光眼,78.57142857142857
慢性浅表性胃炎,慢性胃窦炎,80.0
冠心病,头晕头疼头部不舒服，身体乏力,0.0
胃炎,胃脘痛病,25.0
更年期综合征,绝经后的激素补充,0.0
肾气亏虚证,腰膝酸软,0.0
牙周炎,扁桃体炎；牙周炎,42.857142857142854
肥胖症,减肥,50.0
锌缺乏症,锌缺乏,100.0
肥胖症,减肥,50.0
急性支气管炎;高血压病 ,急性支气管炎;高血压病  高脂血症  冠心病,58.82352941176471
骨质疏松症、,骨质疏松症、骨质疏松,55.55555555555556
肾移植治疗,肾病治疗,75.0
急性支气管炎、哮喘,荨麻疹,0.0
身体乏力,头晕头疼头部不舒服，身体乏力,30.76923076923077
冠心病,缺血性脑血管病,14.285714285714285
肾移植,肾病治疗,25.0
痔疮,出血性痔,25.0
消化不良、维生素缺乏、低钙血症,消化不良、维生素缺乏、缺钙,90.9090909090909
支气管炎,咳嗽病,0.0
消化不良,消化不太好，有积食,37.5
失眠、心绞痛,失眠多梦、心绞痛,71.42857142857143
高血压病,高血压病、高血压,57.14285714285714
扭伤,其他,0.0
高血压病,高血压病、高血压,57.14285714285714
高泌乳激素症,高泌乳素血症,83.33333333333334
风热感冒  风湿性关节炎,风热感冒,100.0
高血压病、慢性胆囊炎,高血压病、高血压、慢性胆囊炎,75.0
高尿酸血症,血尿酸高,75.0
缺铁性贫血。,补血补气,25.0
脾胃虚弱,肠易激惹综合征,0.0
少精症,无精症、弱精子症、男性不育症、少精症、腰疼,17.647058823529413
高尿酸血症,高尿酸,100.0
消化不良,急惊风症,0.0
整形手术术后,整形手术,100.0
急性支气管炎,急性上呼吸道感染;急性支气管炎,42.857142857142854
冠心病,缺血性脑血管病,14.285714285714285
慢性鼻炎,鼻炎,100.0
月经不调,尿血病,0.0
膝关节骨质增生,骨质增生,100.0
急性上呼吸道感染,感冒发烧,25.0
脾胃虚弱,跌打损伤,0.0
冠心病,胸痛,0.0
支气管哮喘 ,支气管哮喘、慢性支气管炎,45.45454545454545
冠心病  高脂血症,心力衰竭、冠心病,42.857142857142854
叶酸缺乏,叶酸片,66.66666666666666
急性咽炎,急性咽喉炎,80.0
尿储留,null,0.0
尿潴留,尿储留,66.66666666666666
疱疹,脚上长瘊子,0.0
原发性开角型青光眼、干眼症,原发性开角型青光眼、眼干眼涩,84.61538461538461
腰痛,腰背疼痛,50.0
功能性子宫出血,崩漏病,0.0
疮疡,毛囊炎,0.0
贫血、周围神经病变,叶酸片、周围神经病变,66.66666666666666
性功能障碍,肾阳虚、勃起功能障碍,44.44444444444444
冠心病,胸痛,0.0
胸痹,胸痛,50.0
牙周炎,牙痛,50.0
龋齿,牙痛,0.0
肥胖症,减肥,50.0
性功能障碍,男性勃起功能障碍,62.5
睡眠障碍,肝郁化火证,0.0
胃炎,胃胀，疼，放屁，拉稀,14.285714285714285
感冒,感冒病,66.66666666666666
脱发,脂溢性脱发,40.0
肾移植,肾移植失败和排斥反应,30.0
原发性开角型青光眼,青光眼、原发性开角型青光眼,75.0
神经衰弱,阳萎,0.0
糖尿病,糖尿病十年多,50.0
月经不调,更年期综合征,0.0
脑梗塞,脑血管病,25.0
胸痹,胸痛,50.0
感冒、慢性支气管炎,支气管炎、感冒、慢性支气管炎,66.66666666666666
肥胖,腹部脂肪堆积，已经咨询线上医生，同意试试,0.0
急性白血病、类风湿关节炎,类风湿性关节炎、急性白血病、类风湿关节炎,61.111111111111114
2型糖尿病,2型糖尿病、糖尿病,62.5
抑郁症,焦虑症,33.33333333333333
 高泌乳素血症高血压病,帕金森、高血压病,85.71428571428571
皮肤紫癜,黄褐斑,0.0
维生素缺乏症,高血压病,0.0
避孕,常规避孕,50.0
肾虚证 失眠 惊厥 视力疲劳,备药、脾肾阳虚证、失眠、肾虚证、视力疲劳,56.25
2型糖尿病,糖尿病;2型糖尿病,62.5
前列腺炎,泌尿系统疾病、慢性前列腺炎、前列腺增生,23.52941176470588
脑梗死,多发性脑梗死,50.0
肾移植,肾移植失败和排斥反应,30.0
头痛、心绞痛,脑血管病、心绞痛,57.14285714285714
性功能障碍,勃起功能障碍,66.66666666666666
类风湿性关节炎、冠心病,类风湿性关节炎、高脂血、心绞痛,61.53846153846154
糖尿病,尿路感染,25.0
偏头痛,头痛偏头痛,60.0
阴道炎,滴虫性阴道炎,50.0
